序号, 日期  ,时间 , 模块编号 ,通道, 传感器型号 , 传感器编号,数据1 ,单位1, 数据2 ,单位2,电阻值,温度,预警
132,2013-12-03,11:09,34306002,04,JMZX-XXXX,---,*,,*,,500,0.0,
133,2013-12-03,11:09,34306002,05,JMZX-XXXX,---,*,,*,,515,1.5,
134,2013-12-03,11:09,34306002,06,JMZX-XXXX,---,*,,*,,505,0.5,
135,2013-12-03,11:09,34306002,07,JMZX-XXXX,---,*,,*,,503,0.3,
136,2013-12-03,11:09,34306002,08,JMZX-XXXX,---,*,,*,,504,0.4,
137,2013-12-03,11:09,34306002,09,JMZX-XXXX,---,*,,*,,498,-0.2,
138,2013-12-03,11:09,34306002,10,JMZX-XXXX,---,*,,*,,501,0.1,
139,2013-12-03,11:09,34306002,11,JMZX-XXXX,---,*,,*,,503,0.3,
140,2013-12-03,11:09,34306002,12,JMZX-XXXX,---,*,,*,,506,0.6,
141,2013-12-03,11:09,34306002,13,JMZX-XXXX,---,*,,*,,503,0.3,
142,2013-12-03,11:09,34306002,14,JMZX-XXXX,---,*,,*,,501,0.1,
143,2013-12-03,11:09,34306002,15,JMZX-XXXX,---,*,,*,,504,0.4,
144,2013-12-03,11:09,34306002,16,JMZX-XXXX,---,*,,*,,507,0.7,
145,2013-12-03,11:09,34306002,17,JMZX-XXXX,---,*,,*,,502,0.2,
146,2013-12-03,11:09,34306002,18,JMZX-XXXX,---,*,,*,,505,0.5,
147,2013-12-03,11:09,34306002,19,JMZX-XXXX,---,*,,*,,504,0.4,
148,2013-12-03,11:09,34306002,20,JMZX-XXXX,---,*,,*,,505,0.5,
149,2013-12-03,11:09,34306002,21,JMZX-XXXX,---,*,,*,,510,1.0,
150,2013-12-03,11:09,34306002,22,JMZX-XXXX,---,*,,*,,512,1.2,
151,2013-12-03,11:09,34306002,23,JMZX-XXXX,---,*,,*,,510,1.0,
152,2013-12-03,11:09,34306002,24,JMZX-XXXX,---,*,,*,,500,0.0,
153,2013-12-03,11:09,34306002,25,JMZX-XXXX,---,*,,*,,493,-0.7,
154,2013-12-03,11:09,34306002,26,JMZX-XXXX,---,*,,*,,500,0.0,
155,2013-12-03,11:09,34306002,27,JMZX-XXXX,---,*,,*,,503,0.3,
156,2013-12-03,11:09,34306002,28,JMZX-XXXX,---,*,,*,,501,0.1,
157,2013-12-03,11:09,34306002,29,JMZX-XXXX,---,*,,*,,498,-0.2,
158,2013-12-03,11:09,34306002,30,JMZX-XXXX,---,*,,*,,494,-0.6,
159,2013-12-03,11:09,34306002,31,JMZX-XXXX,---,*,,*,,498,-0.2,
160,2013-12-03,11:09,34306002,32,JMZX-XXXX,---,*,,*,,492,-0.8,
161,2013-12-03,11:11,34306002,01,JMZX-XXXX,---,*,,*,,496,-0.4,
162,2013-12-03,11:11,34306002,02,JMZX-XXXX,---,*,,*,,502,0.2,
163,2013-12-03,11:11,34306002,03,JMZX-XXXX,---,*,,*,,516,1.6,
164,2013-12-03,11:11,34306002,04,JMZX-XXXX,---,*,,*,,503,0.3,
165,2013-12-03,11:11,34306002,05,JMZX-XXXX,---,*,,*,,515,1.5,
166,2013-12-03,11:11,34306002,06,JMZX-XXXX,---,*,,*,,506,0.6,
167,2013-12-03,11:11,34306002,07,JMZX-XXXX,---,*,,*,,503,0.3,
168,2013-12-03,11:11,34306002,08,JMZX-XXXX,---,*,,*,,505,0.5,
169,2013-12-03,11:11,34306002,09,JMZX-XXXX,---,*,,*,,499,-0.1,
170,2013-12-03,11:11,34306002,10,JMZX-XXXX,---,*,,*,,501,0.1,
171,2013-12-03,11:11,34306002,11,JMZX-XXXX,---,*,,*,,504,0.4,
172,2013-12-03,11:11,34306002,12,JMZX-XXXX,---,*,,*,,506,0.6,
173,2013-12-03,11:11,34306002,13,JMZX-XXXX,---,*,,*,,504,0.4,
174,2013-12-03,11:11,34306002,14,JMZX-XXXX,---,*,,*,,503,0.3,
175,2013-12-03,11:11,34306002,15,JMZX-XXXX,---,*,,*,,505,0.5,
176,2013-12-03,11:11,34306002,16,JMZX-XXXX,---,*,,*,,507,0.7,
177,2013-12-03,11:11,34306002,17,JMZX-XXXX,---,*,,*,,502,0.2,
178,2013-12-03,11:11,34306002,18,JMZX-XXXX,---,*,,*,,505,0.5,
179,2013-12-03,11:11,34306002,19,JMZX-XXXX,---,*,,*,,505,0.5,
180,2013-12-03,11:11,34306002,20,JMZX-XXXX,---,*,,*,,506,0.6,
181,2013-12-03,11:11,34306002,21,JMZX-XXXX,---,*,,*,,509,0.9,
182,2013-12-03,11:11,34306002,22,JMZX-XXXX,---,*,,*,,513,1.3,
183,2013-12-03,11:11,34306002,23,JMZX-XXXX,---,*,,*,,509,0.9,
184,2013-12-03,11:11,34306002,24,JMZX-XXXX,---,*,,*,,507,0.7,
185,2013-12-03,11:11,34306002,25,JMZX-XXXX,---,*,,*,,507,0.7,
186,2013-12-03,11:11,34306002,26,JMZX-XXXX,---,*,,*,,501,0.1,
187,2013-12-03,11:11,34306002,27,JMZX-XXXX,---,*,,*,,504,0.4,
188,2013-12-03,11:11,34306002,28,JMZX-XXXX,---,*,,*,,500,0.0,
189,2013-12-03,11:11,34306002,29,JMZX-XXXX,---,*,,*,,507,0.7,
190,2013-12-03,11:11,34306002,30,JMZX-XXXX,---,*,,*,,509,0.9,
191,2013-12-03,11:11,34306002,31,JMZX-XXXX,---,*,,*,,491,-0.9,
192,2013-12-03,11:11,34306002,32,JMZX-XXXX,---,*,,*,,497,-0.3,
193,2013-12-03,11:13,34306002,01,JMZX-XXXX,---,*,,*,,497,-0.3,
194,2013-12-03,11:13,34306002,02,JMZX-XXXX,---,*,,*,,503,0.3,
195,2013-12-03,11:13,34306002,03,JMZX-XXXX,---,*,,*,,516,1.6,
196,2013-12-03,11:13,34306002,04,JMZX-XXXX,---,*,,*,,503,0.3,
197,2013-12-03,11:13,34306002,05,JMZX-XXXX,---,*,,*,,516,1.6,
198,2013-12-03,11:13,34306002,06,JMZX-XXXX,---,*,,*,,507,0.7,
199,2013-12-03,11:13,34306002,07,JMZX-XXXX,---,*,,*,,504,0.4,
200,2013-12-03,11:13,34306002,08,JMZX-XXXX,---,*,,*,,505,0.5,
201,2013-12-03,11:13,34306002,09,JMZX-XXXX,---,*,,*,,500,0.0,
202,2013-12-03,11:13,34306002,10,JMZX-XXXX,---,*,,*,,501,0.1,
203,2013-12-03,11:13,34306002,11,JMZX-XXXX,---,*,,*,,503,0.3,
204,2013-12-03,11:13,34306002,12,JMZX-XXXX,---,*,,*,,506,0.6,
205,2013-12-03,11:13,34306002,13,JMZX-XXXX,---,*,,*,,504,0.4,
206,2013-12-03,11:13,34306002,14,JMZX-XXXX,---,*,,*,,503,0.3,
207,2013-12-03,11:13,34306002,15,JMZX-XXXX,---,*,,*,,506,0.6,
208,2013-12-03,11:13,34306002,16,JMZX-XXXX,---,*,,*,,508,0.8,
209,2013-12-03,11:13,34306002,17,JMZX-XXXX,---,*,,*,,502,0.2,
210,2013-12-03,11:13,34306002,18,JMZX-XXXX,---,*,,*,,506,0.6,
211,2013-12-03,11:13,34306002,19,JMZX-XXXX,---,*,,*,,504,0.4,
212,2013-12-03,11:13,34306002,20,JMZX-XXXX,---,*,,*,,507,0.7,
213,2013-12-03,11:13,34306002,21,JMZX-XXXX,---,*,,*,,510,1.0,
214,2013-12-03,11:13,34306002,22,JMZX-XXXX,---,*,,*,,514,1.4,
215,2013-12-03,11:13,34306002,23,JMZX-XXXX,---,*,,*,,510,1.0,
216,2013-12-03,11:13,34306002,24,JMZX-XXXX,---,*,,*,,508,0.8,
217,2013-12-03,11:13,34306002,25,JMZX-XXXX,---,*,,*,,504,0.4,
218,2013-12-03,11:13,34306002,26,JMZX-XXXX,---,*,,*,,501,0.1,
219,2013-12-03,11:13,34306002,27,JMZX-XXXX,---,*,,*,,504,0.4,
220,2013-12-03,11:13,34306002,28,JMZX-XXXX,---,*,,*,,510,1.0,
221,2013-12-03,11:13,34306002,29,JMZX-XXXX,---,*,,*,,510,1.0,
222,2013-12-03,11:13,34306002,30,JMZX-XXXX,---,*,,*,,510,1.0,
223,2013-12-03,11:13,34306002,31,JMZX-XXXX,---,*,,*,,506,0.6,
224,2013-12-03,11:13,34306002,32,JMZX-XXXX,---,*,,*,,504,0.4,
225,2013-12-03,11:15,34306002,01,JMZX-XXXX,---,*,,*,,498,-0.2,
226,2013-12-03,11:15,34306002,02,JMZX-XXXX,---,*,,*,,503,0.3,
227,2013-12-03,11:15,34306002,03,JMZX-XXXX,---,*,,*,,516,1.6,
228,2013-12-03,11:15,34306002,04,JMZX-XXXX,---,*,,*,,501,0.1,
229,2013-12-03,11:15,34306002,05,JMZX-XXXX,---,*,,*,,517,1.7,
230,2013-12-03,11:15,34306002,06,JMZX-XXXX,---,*,,*,,507,0.7,
231,2013-12-03,11:15,34306002,07,JMZX-XXXX,---,*,,*,,504,0.4,
232,2013-12-03,11:15,34306002,08,JMZX-XXXX,---,*,,*,,505,0.5,
233,2013-12-03,11:15,34306002,09,JMZX-XXXX,---,*,,*,,500,0.0,
234,2013-12-03,11:15,34306002,10,JMZX-XXXX,---,*,,*,,502,0.2,
235,2013-12-03,11:15,34306002,11,JMZX-XXXX,---,*,,*,,502,0.2,
236,2013-12-03,11:15,34306002,12,JMZX-XXXX,---,*,,*,,507,0.7,
237,2013-12-03,11:15,34306002,13,JMZX-XXXX,---,*,,*,,504,0.4,
238,2013-12-03,11:15,34306002,14,JMZX-XXXX,---,*,,*,,503,0.3,
239,2013-12-03,11:15,34306002,15,JMZX-XXXX,---,*,,*,,506,0.6,
240,2013-12-03,11:15,34306002,16,JMZX-XXXX,---,*,,*,,509,0.9,
241,2013-12-03,11:15,34306002,17,JMZX-XXXX,---,*,,*,,502,0.2,
242,2013-12-03,11:15,34306002,18,JMZX-XXXX,---,*,,*,,506,0.6,
243,2013-12-03,11:15,34306002,19,JMZX-XXXX,---,*,,*,,504,0.4,
244,2013-12-03,11:15,34306002,20,JMZX-XXXX,---,*,,*,,507,0.7,
245,2013-12-03,11:15,34306002,21,JMZX-XXXX,---,*,,*,,510,1.0,
246,2013-12-03,11:15,34306002,22,JMZX-XXXX,---,*,,*,,513,1.3,
247,2013-12-03,11:15,34306002,23,JMZX-XXXX,---,*,,*,,505,0.5,
248,2013-12-03,11:15,34306002,24,JMZX-XXXX,---,*,,*,,508,0.8,
249,2013-12-03,11:15,34306002,25,JMZX-XXXX,---,*,,*,,507,0.7,
250,2013-12-03,11:15,34306002,26,JMZX-XXXX,---,*,,*,,501,0.1,
251,2013-12-03,11:15,34306002,27,JMZX-XXXX,---,*,,*,,504,0.4,
252,2013-12-03,11:15,34306002,28,JMZX-XXXX,---,*,,*,,510,1.0,
253,2013-12-03,11:15,34306002,29,JMZX-XXXX,---,*,,*,,510,1.0,
254,2013-12-03,11:15,34306002,30,JMZX-XXXX,---,*,,*,,510,1.0,
255,2013-12-03,11:15,34306002,31,JMZX-XXXX,---,*,,*,,506,0.6,
256,2013-12-03,11:15,34306002,32,JMZX-XXXX,---,*,,*,,504,0.4,
257,2013-12-03,11:48,34306002,01,JMZX-XXXX,---,*,,*,,508,0.8,
258,2013-12-03,11:48,34306002,02,JMZX-XXXX,---,*,,*,,514,1.4,
259,2013-12-03,11:48,34306002,03,JMZX-XXXX,---,*,,*,,529,2.9,
260,2013-12-03,11:48,34306002,04,JMZX-XXXX,---,*,,*,,515,1.5,
261,2013-12-03,11:48,34306002,05,JMZX-XXXX,---,*,,*,,526,2.6,
